t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
0.00,210,2100,0,6.37,200.00,41,
0.56,1755,2100,0,13.46,200.00,43,
1.10,1755,2100,0,35.09,200.00,43,
1.64,1755,2100,1,46.74,200.00,44,
2.17,1755,2100,4,46.74,200.00,45,
2.72,1950,2100,100,101.02,200.00,53,
3.28,1965,2100,100,162.33,200.00,55,
3.83,1965,2100,100,182.00,200.00,55,
4.40,1965,2100,100,185.78,200.00,56,
4.95,1965,2100,100,184.42,200.00,56,
5.49,1965,2100,100,184.70,200.00,56,
6.04,1965,2100,100,184.09,200.00,56,
6.59,1965,2100,100,185.01,200.00,56,
7.13,1965,2100,100,186.54,200.00,57,
7.68,1965,2100,100,184.70,200.00,57,
8.24,1965,2100,100,184.73,200.00,57,
8.79,1965,2100,100,185.09,200.00,57,
9.34,1965,2100,100,185.43,200.00,57,
9.90,1950,2100,100,186.13,200.00,58,
10.46,1950,2100,100,184.24,200.00,58,
11.01,1950,2100,100,184.66,200.00,58,
11.55,1950,2100,100,184.21,200.00,58,
12.10,1965,2100,100,187.53,200.00,58,
12.66,1965,2100,100,186.79,200.00,59,
13.19,1950,2100,100,185.69,200.00,59,
13.75,1950,2100,100,185.45,200.00,59,
14.30,1950,2100,100,185.14,200.00,59,
14.86,1965,2100,100,187.86,200.00,59,
15.41,1950,2100,100,186.37,200.00,60,
15.98,1950,2100,100,186.34,200.00,60,
16.53,1950,2100,100,185.82,200.00,60,
17.11,1965,2100,100,187.64,200.00,59,
17.66,1950,2100,100,188.40,200.00,60,
18.21,1950,2100,100,186.49,200.00,60,
18.75,1950,2100,100,186.90,200.00,60,
19.30,1950,2100,100,186.89,200.00,60,
19.85,1965,2100,100,188.06,200.00,60,
20.42,1950,2100,100,187.36,200.00,61,
20.98,1950,2100,100,187.25,200.00,60,
21.53,1950,2100,100,187.02,200.00,60,
22.08,1965,2100,100,187.47,200.00,60,
22.64,1965,2100,100,189.72,200.00,60,
23.17,1950,2100,100,187.97,200.00,61,
23.73,1950,2100,100,187.25,200.00,61,
24.28,1950,2100,100,187.38,200.00,61,
24.83,1965,2100,100,187.65,200.00,60,
25.39,1965,2100,100,190.24,200.00,60,
25.94,1950,2100,100,187.51,200.00,61,
26.51,1950,2100,100,187.74,200.00,61,
27.07,1965,2100,100,187.43,200.00,60,
27.62,1965,2100,100,190.62,200.00,61,
28.18,1965,2100,100,189.15,200.00,61,
28.73,1950,2100,100,187.78,200.00,61,
